	average
Spopl	0.9753258566274823
X0610011F06Rik	0.9753258566274823
Hes6	0.9753258566274823
Ppp2r3a	0.9753258566274823
Slk	0.9753258566274823
Fance	0.9753258566274823
Igf2r	0.9753258566274823
Tbl1xr1	0.9753258566274823
Mkln1	0.9753258566274823
Ctbp2	0.9640538570559283
Rps27a	0.8721425344154405
Ccdc71l	0.9753258566274823
Gulp1	0.9753258566274823
Galnt1	0.9753258566274823
Bcl2a1d	0.9753258566274823
Hexim1	0.9753258566274823
Slc4a2	0.9753258566274823
Nabp1	0.9753258566274823
Klhl5	0.9753258566274823
Nprl2	0.9753258566274823
Bmpr1b	0.9753258566274823
Ddah2	0.9753258566274823
Zfp26	0.9753258566274823
Zfp213	0.9753258566274823
Cops2	0.9073119752061617
Ehmt2	0.9448502977568137
Daxx	0.9475351839417246
Apitd1	0.9753258566274823
Capza1	0.6822692233864089
X4930526I15Rik	0.9753258566274823
X2410004N09Rik	0.9753258566274823
Mvb12a	0.8962848075976443
Mrpl17	0.9753258566274823
Fam179b	0.9753258566274823
Ndufaf1	0.9228690761499768
Cmtm4	0.9069721126135138
Erbb2ip	0.9753258566274823
Ttc9c	0.9753258566274823
Efna5	0.9753258566274823
Mfsd5	0.9003598638329278
Myo1c	0.9753258566274823
Cdk2ap1	0.9753258566274823
Hmgn5	0.9753258566274823
Ift46	0.8219136135010219
Ak2	0.9579064545743811
Prpf39	0.9552561968721854
Rtel1	0.9753258566274823
Man2a1	0.9753258566274823
Tpcn1	0.9753258566274823
X2410127L17Rik	0.9753258566274823
Abtb2	0.6203390441198281
Anxa7	0.9753258566274823
Tk2	0.9753258566274823
Cpne8	0.9753258566274823
Vcan	0.9753258566274823
Ankzf1	0.9753258566274823
Cdk10	0.9753258566274823
Cstf2	0.9753258566274823
Arhgef6	0.9753258566274823
Cetn2	0.9753258566274823
Cldn1	0.8900464302692732
Bpnt1	0.9753258566274823
Itpa	0.8232778937478538
Osbp2	0.9753258566274823
Frmd8	0.9753258566274823
C1galt1c1	0.9753258566274823
Glrx2	0.9753258566274823
Ubiad1	0.9753258566274823
Txndc16	0.9753258566274823
Tbc1d10a	0.9753258566274823
Dennd4a	0.9753258566274823
Clptm1	0.91192806131148
X1110008P14Rik	0.9753258566274823
Gramd3	0.7888367490636425
Trappc2l	0.9753258566274823
Alkbh5	0.9753258566274823
Tfap4	0.9753258566274823
Rab21	0.9753258566274823
Ccng1	0.9753258566274823
Pex14	0.9753258566274823
Plekhh2	0.9753258566274823
Maf	0.9753258566274823
Unc5c	0.9753258566274823
Fam214b	0.9753258566274823
Dgke	0.9753258566274823
Tex2	0.9753258566274823
Ramp1	0.8054280127046717
Cenpe	0.9753258566274823
Laptm4b	0.9753258566274823
Dpysl4	0.9753258566274823
X2810011L19Rik	0.9753258566274823
Gm12709	0.9753258566274823
Ctso	0.9753258566274823
Gabpb1	0.9753258566274823
Inpp5k	0.9753258566274823
Mgat3	0.9753258566274823
Sox7	0.9753258566274823
Slc38a5	0.9753258566274823
X1110032A03Rik	0.9753258566274823
Hip1r	0.9753258566274823
Gpd2	0.9753258566274823
Cbfa2t2	0.9753258566274823
C4b	0.855322235780239
Tmem38a	0.9753258566274823
Sgca	0.9753258566274823
Kit	0.9753258566274823
Col4a5	0.9753258566274823
Hs3st2	0.9753258566274823
Ncoa3	0.9753258566274823
Fndc1	0.8837037368795913
Lamb2	0.9753258566274823
Vcl	0.9753258566274823
Etfa	0.9753258566274823
Hist1h2ac	0.9753258566274823
Fuca1	0.9753258566274823
Fundc1	0.9753258566274823
Slc7a10	0.9753258566274823
Rbm26	0.9323798766050533
Rsad2	0.9753258566274823
Ankrd13a	0.9753258566274823
Arhgap21	0.9753258566274823
Mcat	0.9753258566274823
Megf10	0.9753258566274823
Arhgef18	0.9753258566274823
Zmym4	0.9753258566274823
Fat3	0.9753258566274823
Lasp1	0.9753258566274823
Pnpla6	0.9753258566274823
Krcc1	0.9753258566274823
Ston2	0.9753258566274823
Cdc37l1	0.9753258566274823
Anxa5	0.8453197973186797
Hyal2	0.9753258566274823
Eci2	0.9753258566274823
Rexo2	0.9753258566274823
Stoml1	0.9753258566274823
Slc40a1	0.9753258566274823
Gins3	0.9753258566274823
Gyg	0.9753258566274823
Pyurf	0.9753258566274823
Stard3nl	0.9753258566274823
Lmf1	0.9753258566274823
Cmpk2	0.9753258566274823
Sri	0.9753258566274823
Paqr5	0.9753258566274823
Hmgn3	0.9753258566274823
Qars	0.9753258566274823
Cdca7	0.9753258566274823
Mtss1	0.9753258566274823
Usp42	0.9753258566274823
Tns1	0.9753258566274823
Mlf1	0.9753258566274823
Zfp318	0.9753258566274823
X2010107G23Rik	0.9753258566274823
Aph1c	0.7388530569304952
Sec22c	0.9753258566274823
Txnip	0.9753258566274823
Faxc	0.9753258566274823
Abcg2	0.9753258566274823
Slc30a10	0.9753258566274823
Pgrmc2	0.8810927831314673
Ttc1	0.844060601852847
Sema3d	0.9753258566274823
Mepce	0.9753258566274823
Entpd5	0.9753258566274823
Cdh12	0.9753258566274823
Tinf2	0.9753258566274823
Mto1	0.6892861441278462
Gjc3	0.9753258566274823
Hsd17b12	0.9753258566274823
Wdr5	0.9753258566274823
Lin37	0.9753258566274823
Zfp212	0.9753258566274823
Lrwd1	0.9096283488321135
